restaurant,food,price,taste,location,portion_size,dish_category
Pizza Hut,Cheesy Garlic Twist,55.0,6.9,Accra,N/A,Sides
Pizza Hut,Garlic Bread Sticks,45.0,6.5,Accra,N/A,Sides
Pizza Hut,Veg Jollof Rice,35.0,5.3,Accra,N/A,Sides
Pizza Hut,Jumbo Breaded Wings,80.0,8.6,Accra,N/A,Sides
Pizza Hut,Jumbo Traditional Wings,80.0,9.0,Accra,N/A,Sides
Pizza Hut,Crumbed Chicken Strips,80.0,8.1,Accra,N/A,Sides
Pizza Hut,Guinness,25.0,6.4,Accra,N/A,Beverages
Pizza Hut,Club Beer,20.0,5.5,Accra,N/A,Beverages
Pizza Hut,Faragello Cocktail,25.0,7.2,Accra,N/A,Beverages
Pizza Hut,300 ML Sprite,12.0,6.7,Accra,N/A,Beverages
Pizza Hut,Faragello Apple,25.0,7.0,Accra,N/A,Beverages
Pizza Hut,Voltic Water 500 Ml.,8.0,9.8,Accra,N/A,Beverages
Pizza Hut,300 ML Coke,12.0,7.5,Accra,N/A,Beverages
Pizza Hut,Faragello Grape,25.0,6.6,Accra,N/A,Beverages
Pizza Hut,300 ML Fanta,12.0,6.1,Accra,N/A,Beverages
Pizza Hut,Hut Doubles Medium,220.0,8.8,Accra,N/A,Combos
Pizza Hut,Hut Doubles Large,310.0,9.1,Accra,N/A,Combos
Pizza Hut,Dinner Box - Add Fries + Wings,360.0,8.9,Accra,N/A,Combos
Pizza Hut,Big Boss,400.0,9.4,Accra,N/A,Combos
Pizza Hut,Hut Doubles Boss,140.0,7.7,Accra,N/A,Combos
Pizza Hut,Bossu Kids Special,75.0,6.5,Accra,N/A,Combos
Pizza Hut,Hut Special 1,150.0,9.2,Accra,N/A,Combos
Pizza Hut,Hut Special 2,210.0,8.6,Accra,N/A,Combos
Pizza Hut,Wings Special,145.0,9.0,Accra,N/A,Combos
Pizza Hut,Big Boss Combo,425.0,9.5,Accra,N/A,Combos
Papa’s Pizza,Medium Margherita (No Pork),106.8,6.8,Accra,N/A,Papa's Youngster
Papa’s Pizza,Periperi Chicken Wings,144.0,8.4,Accra,N/A,Sides
Papa’s Pizza,Medium BBQ Lovers,130.0,8.2,Accra,N/A,Papa's Lovers
Papa’s Pizza,Medium Falaa Freestyler,156.0,9.0,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Medium Falaa Freestyler,156.0,9.0,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Medium Papa No (No Pork),130.8,7.2,Accra,N/A,Big Bosses
Papa’s Pizza,Large Falaa Freestyler,204.0,8.8,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Large Papa No (No Pork),202.8,7.9,Accra,N/A,Big Bosses
Papa’s Pizza,Spicy Bbq Chicken Wings,144.0,6.2,Accra,N/A,Sides
Papa’s Pizza,Large BBQ Lovers,202.8,8.5,Accra,N/A,Papa's Lovers
Papa’s Pizza,Fried Rice Only (Small),66.0,4.6,Accra,N/A,Portion
Papa’s Pizza,Large Margherita (No Pork),154.8,7.1,Accra,N/A,Papa's Youngster
Papa’s Pizza,XL Falaa Freestyler,300.0,9.3,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,XL BBQ Lovers,298.8,8.2,Accra,N/A,Papa's Lovers
Papa’s Pizza,XL Papa No (No Pork),298.8,7.0,Accra,N/A,Big Bosses
Papa’s Pizza,XL Margherita (No Pork),226.8,6.9,Accra,N/A,Papa's Youngster
Papa’s Pizza,BBQ Chicken Wings,144.0,7.7,Accra,N/A,Sides
Papa’s Pizza,Fried Rice Only (Big),102.0,5.5,Accra,N/A,Portion
Papa’s Pizza,Jumbo BBQ Lovers,334.8,8.7,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jumbo Margherita (No Pork),238.8,6.4,Accra,N/A,Papa's Youngster
Papa’s Pizza,Jumbo Falaa Freestyler,348.0,9.2,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Spicy Pork Chops,168.0,7.8,Accra,N/A,Sides
Papa’s Pizza,Jumbo Papa No (No Pork),322.8,7.5,Accra,N/A,Big Bosses
Papa’s Pizza,Jollof Only (Small),66.0,4.8,Accra,N/A,Portion
Papa’s Pizza,Small Ghanaman (No Pork),94.8,6.2,Accra,N/A,Big Bosses
Papa’s Pizza,Small Sweet Moments,118.8,8.0,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jollof Only (Big),102.0,5.2,Accra,N/A,Portion
Papa’s Pizza,Small Papa's Love,138.8,8.6,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Fried Rice and Chicken (Small),142.8,7.4,Accra,N/A,Rice Dishes
Papa’s Pizza,Medium Ghanaman (No Pork),130.8,6.0,Accra,N/A,Big Bosses
Papa’s Pizza,Medium Sweet Moments,130.8,7.8,Accra,N/A,Papa's Lovers
Papa’s Pizza,Medium Papa's Love,180.0,8.7,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Large Ghanaman (No Pork),202.8,7.2,Accra,N/A,Big Bosses
Papa’s Pizza,Large Sweet Moments,178.8,8.1,Accra,N/A,Papa's Lovers
Papa’s Pizza,Large Papa's Love,228.8,8.9,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Fried Rice and Chicken (Big),166.8,6.5,Accra,N/A,Rice Dishes
Papa’s Pizza,XL Ghanaman (No Pork),250.8,7.7,Accra,N/A,Big Bosses
Papa’s Pizza,XL Papa's Love,324.0,8.8,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,XL Sweet Moments,274.8,7.0,Accra,N/A,Papa's Lovers
Papa’s Pizza,Fried Rice and Portion of Pork (Big),214.8,6.6,Accra,N/A,Rice Dishes
Papa’s Pizza,Jumbo Sweet Moments,298.8,8.4,Accra,N/A,Papa's Lovers
Papa’s Pizza,Fried Rice and Half Portion of Pork (Big),154.8,5.0,Accra,N/A,Rice Dishes
Papa’s Pizza,Jumbo Papa's Love,372.0,9.4,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Jumbo Ghanaman (No Pork),274.8,6.9,Accra,N/A,Big Bosses
Papa’s Pizza,Small Papa's Full House,118.8,8.0,Accra,N/A,Papa's Lovers
Papa’s Pizza,Small Hot & Spicy (No Pork),96.0,5.7,Accra,N/A,Big Bosses
Papa’s Pizza,Small Freestyler,156.0,8.5,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Fried Rice and Portion of Pork (Small),178.8,6.4,Accra,N/A,Rice Dishes
Papa’s Pizza,Medium Papa's Full House,130.8,7.6,Accra,N/A,Papa's Lovers
Papa’s Pizza,Medium Hot & Spicy (No Pork),130.8,5.5,Accra,N/A,Big Bosses
Papa’s Pizza,Medium Freestyler,192.0,8.3,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Fried Rice and Half Portion of Pork (Small),118.8,4.9,Accra,N/A,Rice Dishes
Papa’s Pizza,Large Hot & Spicy (No Pork),202.8,6.0,Accra,N/A,Big Bosses
Papa’s Pizza,Large Papa's Full House,214.8,7.8,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jollof Rice and Portion of Pork (Big),214.8,6.8,Accra,N/A,Rice Dishes
Papa’s Pizza,Large Freestyler,264.0,9.1,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,XL Papa's Full House,298.8,8.9,Accra,N/A,Papa's Lovers
Papa’s Pizza,XL Hot & Spicy (No Pork),298.8,6.9,Accra,N/A,Big Bosses
Papa’s Pizza,XL Freestyler,372.0,9.2,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Jollof Rice and Half Portion of Pork (Big),166.8,5.6,Accra,N/A,Rice Dishes
Papa’s Pizza,Jumbo Hot & Spicy (No Pork),322.8,7.1,Accra,N/A,Big Bosses
Papa’s Pizza,Jumbo Papa's Full House,334.8,9.0,Accra,N/A,Papa's Lovers
Papa’s Pizza,Jumbo Freestyler,420.0,9.3,Accra,N/A,Your Own Masterpiece
Papa’s Pizza,Jollof Rice and Portion of Pork (Small),178.8,6.3,Accra,N/A,Rice Dishes
Papa’s Pizza,Small Vegetarian Supreme (No Pork),76.8,5.2,Accra,N/A,Papa's Youngster
Papa’s Pizza,Small Meateater,118.8,7.8,Accra,N/A,Papa's Lovers
Papa’s Pizza,Small Plantain Passion( No Pork),91.2,6.6,Accra,N/A,Big Bosses
Papa’s Pizza,Jollof Rice and Half Portion of Pork (Small),130.8,5.4,Accra,N/A,Rice Dishes
Papa’s Pizza,Medium Meateater,130.8,7.2,Accra,N/A,Papa's Lovers
Papa’s Pizza,Medium Plantain Passion ( No Pork),120.0,6.1,Accra,N/A,Big Bosses
Papa’s Pizza,Medium Vegetarian Supreme (No Pork),106.8,5.7,Accra,N/A,Papa's Youngster
Papa’s Pizza,Jollof Rice and Chicken (Small),154.8,7.9,Accra,N/A,Rice Dishes
Papa’s Pizza,Large Vegetarian Supreme (No Pork),154.8,7.3,Accra,N/A,Papa's Youngster
Papa’s Pizza,Large Meateater,214.8,8.1,Accra,N/A,Papa's Lovers
Papa’s Pizza,Large Plantain Passion (No Pork),156.0,6.7,Accra,N/A,Big Bosses
Papa’s Pizza,Jollof Rice and Chicken (Big),190.8,6.9,Accra,N/A,Rice Dishes
Papa’s Pizza,XL Plantain Passion ( No Pork),240.0,7.2,Accra,N/A,Big Bosses
Papa’s Pizza,XL Meateater,298.8,8.8,Accra,N/A,Papa's Lovers
